time	V(out)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.953124992195698e-015	0.000000e+000	2.604167e-007
3.906249984391395e-015	0.000000e+000	5.208333e-007
4.574776767434381e-012	-2.426534e-043	6.099702e-004
9.145647284884371e-012	-2.159144e-043	1.219420e-003
1.371651780233436e-011	8.021719e-044	1.828869e-003
1.828738831978435e-011	6.457412e-043	2.438318e-003
2.285825883723434e-011	1.480658e-042	3.047768e-003
2.742912935468433e-011	2.584967e-042	3.657217e-003
3.199999987213431e-011	3.958668e-042	4.266667e-003
6.399999974426862e-011	2.472659e-038	8.533333e-003
1.101865910514692e-010	5.555867e-037	1.469155e-002
1.518283170774923e-010	4.658339e-036	2.024378e-002
1.886125910536936e-010	2.798050e-035	2.514835e-002
2.234275502837838e-010	2.222438e-034	2.979034e-002
2.660292732369286e-010	1.862684e-033	3.547057e-002
3.074334186163046e-010	2.194953e-032	4.099112e-002
3.608476060732223e-010	3.046011e-031	4.811301e-002
4.179952393686653e-010	5.810221e-030	5.573270e-002
4.891580293033175e-010	1.100257e-028	6.522107e-002
5.680736373325263e-010	2.560632e-027	7.574315e-002
6.641208263950112e-010	2.275808e-026	8.854944e-002
7.426813351474913e-010	1.346680e-025	9.902418e-002
8.285345141860017e-010	7.658505e-025	1.104713e-001
9.107915190103786e-010	4.334044e-024	1.214389e-001
1.007870678158534e-009	2.735576e-023	1.343828e-001
1.108680830507005e-009	1.782957e-022	1.478241e-001
1.225505037921539e-009	1.246634e-021	1.634007e-001
1.350328407991337e-009	6.176153e-021	1.800438e-001
1.455594320720257e-009	2.508534e-020	1.940793e-001
1.578830595461709e-009	1.074663e-019	2.105107e-001
1.692877567002574e-009	4.184111e-019	2.257170e-001
1.827909090260396e-009	1.808174e-018	2.437212e-001
1.962660486380070e-009	7.515344e-018	2.616881e-001
2.117588383411623e-009	3.075315e-017	2.823451e-001
2.259488223096706e-009	1.064085e-016	3.012651e-001
2.414527115696590e-009	3.615141e-016	3.219369e-001
2.556220879464593e-009	1.102709e-015	3.408295e-001
2.719667914822786e-009	3.663851e-015	3.626224e-001
2.881791130099251e-009	1.162037e-014	3.842388e-001
3.064717173703078e-009	3.661162e-014	4.086290e-001
3.225341511015314e-009	9.656048e-014	4.300455e-001
3.397431224812672e-009	2.623024e-013	4.529908e-001
3.569419973003303e-009	6.897922e-013	4.759227e-001
3.756799183727982e-009	1.878927e-012	5.009066e-001
3.950026686943050e-009	4.946713e-012	5.266702e-001
4.145339186943050e-009	1.246335e-011	5.527119e-001
4.340651686943050e-009	2.990794e-011	5.787535e-001
4.533678824743606e-009	6.852302e-011	6.044905e-001
4.728991324743606e-009	1.529362e-010	6.305322e-001
4.924303824743606e-009	3.295357e-010	6.565738e-001
5.119616324743606e-009	6.881490e-010	6.826155e-001
5.314928824743605e-009	1.395826e-009	7.086572e-001
5.510241324743605e-009	2.755582e-009	7.346988e-001
5.705553824743605e-009	5.303909e-009	7.607405e-001
5.900866324743605e-009	9.969305e-009	7.867822e-001
6.096178824743605e-009	1.832462e-008	8.128238e-001
6.291491324743604e-009	3.298081e-008	8.388655e-001
6.486803824743604e-009	5.818981e-008	8.649072e-001
6.682116324743604e-009	1.007509e-007	8.909488e-001
6.877428824743604e-009	1.713502e-007	9.169905e-001
7.072741324743604e-009	2.865076e-007	9.430322e-001
7.268053824743603e-009	4.495798e-007	9.690738e-001
7.304687499999999e-009	4.899697e-007	9.739583e-001
7.377954850512790e-009	5.923987e-007	9.837273e-001
7.499999999999999e-009	7.871329e-007	1.000000e+000
7.512204514948721e-009	8.110688e-007	1.000000e+000
7.536613544846164e-009	8.610147e-007	1.000000e+000
7.585431604641047e-009	9.719842e-007	1.000000e+000
7.683067724230815e-009	1.249481e-006	1.000000e+000
7.878339963410351e-009	2.008782e-006	1.000000e+000
8.073652463410351e-009	3.116562e-006	1.000000e+000
8.268964963410350e-009	4.772700e-006	1.000000e+000
8.464277463410350e-009	7.218123e-006	1.000000e+000
8.659589963410350e-009	1.078609e-005	1.000000e+000
8.854902463410350e-009	1.593225e-005	1.000000e+000
9.050214963410350e-009	2.327260e-005	1.000000e+000
9.245527463410349e-009	3.363076e-005	1.000000e+000
9.440839963410349e-009	4.809626e-005	1.000000e+000
9.636152463410349e-009	6.809544e-005	1.000000e+000
9.831464963410349e-009	9.547657e-005	1.000000e+000
1.002677746341035e-008	1.326110e-004	1.000000e+000
1.022208996341035e-008	1.825115e-004	1.000000e+000
1.041740246341035e-008	2.489694e-004	1.000000e+000
1.061271496341035e-008	3.367111e-004	1.000000e+000
1.080802746341035e-008	4.515741e-004	1.000000e+000
1.100333996341035e-008	6.007026e-004	1.000000e+000
1.119865246341035e-008	7.927614e-004	1.000000e+000
1.139396496341035e-008	1.038166e-003	1.000000e+000
1.158927746341035e-008	1.349324e-003	1.000000e+000
1.178458996341035e-008	1.740890e-003	1.000000e+000
1.197990246341035e-008	2.230014e-003	1.000000e+000
1.217521496341035e-008	2.836597e-003	1.000000e+000
1.237052746341035e-008	3.583524e-003	1.000000e+000
1.256583996341035e-008	4.496879e-003	1.000000e+000
1.276115246341035e-008	5.606131e-003	1.000000e+000
1.295646496341035e-008	6.944266e-003	1.000000e+000
1.315177746341035e-008	8.547870e-003	1.000000e+000
1.334708996341035e-008	1.045714e-002	1.000000e+000
1.354240246341035e-008	1.271582e-002	1.000000e+000
1.373771496341034e-008	1.537102e-002	1.000000e+000
1.393302746341034e-008	1.847298e-002	1.000000e+000
1.412833996341034e-008	2.207466e-002	1.000000e+000
1.432365246341034e-008	2.623129e-002	1.000000e+000
1.451896496341034e-008	3.099972e-002	1.000000e+000
1.471427746341034e-008	3.643771e-002	1.000000e+000
1.490958996341035e-008	4.260311e-002	1.000000e+000
1.510490246341035e-008	4.955287e-002	1.000000e+000
1.530021496341035e-008	5.734207e-002	1.000000e+000
1.549552746341035e-008	6.602278e-002	1.000000e+000
1.569083996341035e-008	7.564293e-002	1.000000e+000
1.588615246341035e-008	8.624516e-002	1.000000e+000
1.608146496341035e-008	9.786567e-002	1.000000e+000
1.627677746341036e-008	1.105331e-001	1.000000e+000
1.647208996341036e-008	1.242675e-001	1.000000e+000
1.666740246341036e-008	1.390796e-001	1.000000e+000
1.686271496341036e-008	1.549696e-001	1.000000e+000
1.705802746341036e-008	1.719273e-001	1.000000e+000
1.725333996341036e-008	1.899311e-001	1.000000e+000
1.744865246341036e-008	2.089482e-001	1.000000e+000
1.764396496341037e-008	2.289345e-001	1.000000e+000
1.783927746341037e-008	2.498355e-001	1.000000e+000
1.803458996341037e-008	2.715861e-001	1.000000e+000
1.822990246341037e-008	2.941122e-001	1.000000e+000
1.842521496341037e-008	3.173314e-001	1.000000e+000
1.862052746341037e-008	3.411547e-001	1.000000e+000
1.881583996341037e-008	3.654872e-001	1.000000e+000
1.901115246341038e-008	3.902308e-001	1.000000e+000
1.920646496341038e-008	4.152846e-001	1.000000e+000
1.940177746341038e-008	4.405478e-001	1.000000e+000
1.959708996341038e-008	4.659202e-001	1.000000e+000
1.979240246341038e-008	4.913046e-001	1.000000e+000
1.998771496341038e-008	5.166078e-001	1.000000e+000
2.018302746341038e-008	5.417417e-001	1.000000e+000
2.037833996341039e-008	5.666246e-001	1.000000e+000
2.057365246341039e-008	5.911813e-001	1.000000e+000
2.076896496341039e-008	6.153445e-001	1.000000e+000
2.096427746341039e-008	6.390538e-001	1.000000e+000
2.115958996341039e-008	6.622564e-001	1.000000e+000
2.135490246341039e-008	6.849062e-001	1.000000e+000
2.155021496341039e-008	7.069635e-001	1.000000e+000
2.174552746341040e-008	7.283939e-001	1.000000e+000
2.194083996341040e-008	7.491677e-001	1.000000e+000
2.213615246341040e-008	7.692584e-001	1.000000e+000
2.233146496341040e-008	7.886422e-001	1.000000e+000
2.252677746341040e-008	8.072969e-001	1.000000e+000
2.272208996341040e-008	8.252009e-001	1.000000e+000
2.291740246341040e-008	8.423328e-001	1.000000e+000
2.311271496341041e-008	8.586708e-001	1.000000e+000
2.330802746341041e-008	8.741929e-001	1.000000e+000
2.350333996341041e-008	8.888766e-001	1.000000e+000
2.369865246341041e-008	9.026994e-001	1.000000e+000
2.389396496341041e-008	9.156400e-001	1.000000e+000
2.408927746341041e-008	9.276786e-001	1.000000e+000
